Supplier ID,Stone Type,Shape,Carat Weight,Primary Color,Price per Carat,Stock #,Color System,Stone Image,Certificate Image,Additional Image,Dimensions,Availability,Origin,Description,Treatment Notes,Lab,Certificate ID
,RU,PS,2.22,RED,2000.00,RP2220,,RP2220.jpg,,,9.00|6.80|4.30,,,PS Ruby Gem. 9.0-6.8,H,,rp2220
,SA,OV,2.26,BLU,375.00,SV2260,,SV2260.jpg,,,9.00|7.00|4.00,,,OV Sapphire Gem 9.00x7.00,H,,sv2260
,PS,CU,2.27,PNK,450.00,PC2270,,pc2270.jpg,,,7.20|7.20|5.00,,,P. Sapphire. Cushion. Pink 7.2,,,
,SA,OV,2.29,BLU,950.00,SV22900,,,,,9.30|7.50,,,Sapphire. Oval. Blue 9.3X7.5,H,,
,SA,CU,2.35,BLU,750.00,SC2350,,sc2350.jpg,,,8.20|7.40|4.20,,,CC Sapphire Gem 8.20x7.40,H,,
,SA,OV,2.35,BLU,1250.00,SV2350,,sv2350.jpg,,,8.30|6.40|4.80,,,OV Sapphire Gem 8.3x6.4,H,,
,SA,OV,2.46,BLU,0.00,SV24600,,,,,8.50|6.70|4.70,,,Sapphire. Oval. Blue 8.5X6.7,H,,
,RU,CU,2.47,RED,2850.00,RC2470,,RC2470.jpg,,,8.00|8.00|4.30,,,CSHN Ruby Gem. 8.0,H,,rc2470
,SA,PS,2.51,BLU,1350.00,SP2510,,SP2510.jpg,,,10.00|7.70|4.60,,,PS Sapphire Gem. 10.0-7.7,H,,sp2510
,SA,CU,2.51,BLU,1875.00,SC2510,,SC2510.jpg,,,8.80|6.40|4.40,,,CC Sapphire Gem 8.80x6.40,H,,sc2510
,OS,CU,2.52,Orange,675.00,OC25200,,,,,7.60|7.60|4.60,,,O. Sapphire. Cushion. Orange 7.6X7.6,,,
,GS,OV,2.55,GRN,450.00,GV25500,,,,,8.90|6.90|4.70,,,G. Sapphire. Oval. Green 8.9X6.9MM,,,
